track_name,artists,track_genre,engagement_score,like_probability,popularity
Ferrari - Remix,James Hype;Miggy Dela Rosa;Lazza,deep-house,0.7865000000000001,0.6688009,80
Chantaje (feat. Maluma),Shakira;Maluma,latin,0.78625,0.6008639,76
La Zona,Bad Bunny,latino,0.7857500000000001,0.5575553,79
X Gon' Give It To Ya,DMX,hardcore,0.785,0.6300029,74
Happier,Marshmello;Bastille,dance,0.7847500000000001,0.65151876,83
Todo De Ti,Rauw Alejandro,latino,0.7845,0.748989,82
In Da Getto,J Balvin;Skrillex,latin,0.78375,0.70237285,75
Unforgettable,French Montana;Swae Lee,hip-hop,0.78375,0.6658044,82
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),2Pac;Snoop Dogg,funk,0.78325,0.5541829,69
Feliz Cumpleaños Ferxxo,Feid,latino,0.7795000000000001,0.6729273,84
One Dance,Drake;Wizkid;Kyla,hip-hop,0.77925,0.70464957,85
Roses - Imanbek Remix,SAINt JHN;Imanbek,house,0.7785000000000001,0.51498365,81
Jump Around - 30 Years Remaster,House Of Pain,hard-rock,0.7785,0.67803246,74
FIRE,EXID,k-pop,0.7777499999999999,0.6306755,71
My Head & My Heart,Ava Max,dance,0.777,0.6634366,78
BOOM,Tiësto;Sevenn;Gucci Mane,edm,0.7765,0.5295223,69
VERY NICE,SEVENTEEN,k-pop,0.776,0.6525596,73
Let's Groove,"Earth, Wind & Fire",disco,0.7742500000000001,0.5598323,79
We Are Family - 1995 Remaster,Sister Sledge,disco,0.7742499999999999,0.6518293,71
Danza Kuduro,Don Omar;Lucenzo,hip-hop,0.774,0.5497345,74
Agosto,Bad Bunny,latino,0.77325,0.62312865,83
What's The Difference,Dr. Dre;Eminem;Xzibit,funk,0.77325,0.5042838,75
Give Me Your TMI,Stray Kids,k-pop,0.77275,0.6178899,74
OOPS,King,hip-hop,0.77275,0.5628067,75
Anpanman,BTS,k-pop,0.7722499999999999,0.6839859,70
Lady - Hear Me Tonight,Modjo,disco,0.772,0.63792086,78
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy;Bad Bunny;Julieta Venegas,latino,0.7705,0.6382448,87
OK Not To Be OK,Marshmello;Demi Lovato,dance,0.7699999999999999,0.6536417,75
Tusa,KAROL G;Nicki Minaj,reggae,0.7695,0.6844703,78
Mood (feat. iann dior),24kGoldn;iann dior,pop,0.76925,0.67212445,83
Tongue Tied,Grouplove,alt-rock,0.769,0.63037527,79
Ghost of You,Mimi Webb,singer-songwriter,0.76875,0.701709,74
"""Kusu Kusu (From """"Satyameva Jayate 2"""")""",Tanishk Bagchi;Zahrah S Khan;Dev Negi,pop,0.76825,0.61066025,71
Where Are You Now,Lost Frequencies;Calum Scott,dance,0.76675,0.6607142,88
It's My Life,Bon Jovi,metal,0.766,0.5580352,80
Get Busy,Sean Paul,dancehall,0.7647499999999999,0.5023044,75
"""De Taali (From """"Bhool Bhulaiyaa 2"""")""",Pritam;Yo Yo Honey Singh;Armaan Malik;Shashwat Singh;Amitabh Bhattacharya,indian,0.76425,0.6275772,67
The Search,NF,hip-hop,0.76375,0.56837577,74
Another Love - Tiësto Remix,Tom Odell;Tiësto,chill,0.7635000000000001,0.6413057,75
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,hip-hop,0.763,0.5183474,81
In Da Getto,J Balvin;Skrillex,latin,0.7617499999999999,0.7327246,70
Sweet but Psycho,Ava Max,dance,0.7615000000000001,0.6330399,81
Stacy's Mom,Fountains Of Wayne,alt-rock,0.761,0.581376,76
Mitti De Tibbe,Kaka,pop,0.7605,0.5837223,67
La Curiosidad (feat. Myke Towers) - Mixed,Jay Wheeler;DJ Nelson;Myke Towers,latino,0.7602500000000001,0.5248993,74
She's My Collar (feat. Kali Uchis),Gorillaz;Kali Uchis,alternative,0.76025,0.5328959,75
Melody,Sigala,edm,0.76,0.65064305,75
Teddy Picker,Arctic Monkeys,garage,0.76,0.5088374,72
It Wasn't Me,Shaggy;Rik Rok,reggae,0.7597499999999999,0.7804981,79
VENOM,Stray Kids,k-pop,0.7597499999999999,0.5235552,71
Brother Louie,Modern Talking,german,0.7597499999999999,0.6130272,71
Kala Chashma,Amar Arshi;Badshah;Neha Kakkar;Indeep Bakshi;Prem & Hardeep,pop,0.75925,0.5676035,69
Diles,Bad Bunny;Ozuna;Farruko;Arcangel;Ñengo Flow;DJ Luian;Mambo Kingz,latino,0.7582499999999999,0.7216741,83
